timestamp,task,status,exit_code,elapsed_s,args
2026-03-17 08:10:53,Order Query,failed,62097,5.77,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input D:/Data/Data/GitHub/mianhuaguo/orders_20260317_075605.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.17_gui.xlsx --cookie i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0
2026-03-17 08:16:27,Order Query,failed,62097,11.12,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input D:/Data/Data/GitHub/mianhuaguo/orders_20260317_075605.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.17_gui.xlsx --cookie i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0 --enable-wechat-compare --wechat D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --wechat-log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx
2026-03-17 08:19:54,Order Query,failed,62097,7.18,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input D:/Data/Data/GitHub/mianhuaguo/orders_20260317_075605.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.17_gui.xlsx --cookie i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0 --enable-wechat-compare --wechat D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --wechat-log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx
2026-03-17 08:50:58,Order Query,failed,62097,7.31,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input D:/Data/Data/GitHub/mianhuaguo/orders_20260317_075605.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.17_gui.xlsx --cookie i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0 --enable-wechat-compare --wechat D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --wechat-log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx
2026-03-17 08:55:31,Order Query,success,0,130.07,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input D:/Data/Data/GitHub/mianhuaguo/orders_20260317_075605.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.17_gui.xlsx --cookie PHPSESSID=i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0 --enable-wechat-compare --wechat D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --wechat-log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx
2026-03-18 08:36:23,Order Query,success,0,210.65,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input D:/Data/Data/GitHub/mianhuaguo/orders_20260318_075605.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.18_gui.xlsx --cookie PHPSESSID=i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0
2026-03-18 08:38:13,WeChat Reconcile,success,0,1.84,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/reconcile_result_gui_3.18.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.18_gui - 副本.xlsx --no-interactive
2026-03-18 08:43:00,WeChat Reconcile,success,0,1.43,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/reconcile_result_gui_3.18.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260317_155204.xlsx --no-interactive
2026-03-18 08:48:49,WeChat Reconcile,success,0,1.77,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/reconcile_result_gui_3.18.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260317_155204.xlsx --no-interactive
2026-03-18 08:52:44,WeChat Reconcile,success,0,1.74,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/reconcile_result_gui_3.18.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260317_155204.xlsx --no-interactive
